version	phase	path	sha256
20161130142058	main	db/migrate/20161130142058_add_last_successful_delivery_at_to_subscriptions.rb	60ce95ade6481b268ef7c0005e206a36876a7fd8dad3285503ba3a608b909486
20161130185319	main	db/migrate/20161130185319_add_visibility_to_statuses.rb	fe0924dcfe245e4c58e700d1bb50413bccfbcc98f5e965544c5e7162c1629942
20161202132159	main	db/migrate/20161202132159_add_in_reply_to_account_id_to_statuses.rb	d9c07c7eb71efc7455f627ed7ad24644bb5b0a1caa0c9e32ae45468c3ef90596
20161203164520	main	db/migrate/20161203164520_add_from_account_id_to_notifications.rb	d3e7c80b697e9ecacee48f9f9a46af3d21ef9794f3a926495918e8ceaa9b7d04
20161205214545	main	db/migrate/20161205214545_add_suspended_to_accounts.rb	47a7141356c3d6f4cbe3d5c0c5b58ee6cfa421c0a5751149030f9f2e0e99f19c
20161221152630	main	db/migrate/20161221152630_add_hidden_to_stream_entries.rb	7b9918cf452637f1a178b37f4109f565f1637d4167614a6c83c1963b83618327
20161222201034	main	db/migrate/20161222201034_add_locked_to_accounts.rb	22a1a19f6e52e0ec20380dee005ea05fac2fd31e539f3ebd9617427a951ace17
20161222204147	main	db/migrate/20161222204147_create_follow_requests.rb	ef5b0b02db9bcb07e7dd75b51410ec6b3b08d9b2845c4dff657cf6de9d836c0f
20170105224407	main	db/migrate/20170105224407_add_shortcode_to_media_attachments.rb	b1265a01cce9a2efed35098fab4f25e7d8587c5d81466a0f4fe6e4bdbfa90a5e
20170109120109	main	db/migrate/20170109120109_create_web_settings.rb	69a40eeed9b559225ac21af52e0a826a278724ecf5f14be475d13616eebc556c
20170112154826	main	db/migrate/20170112154826_migrate_settings.rb	41a11b5e6456c598304d3e6ccf8707292ce2ed70c1e722fd0a95b6de5b9d31bd
20170114194937	main	db/migrate/20170114194937_add_application_to_statuses.rb	5a53d1846fcd2643d36ecc4b312431550b1e0f152675fcddb4e7c4eb3d2f7824
20170114203041	main	db/migrate/20170114203041_add_website_to_oauth_application.rb	e486407ee9f2a93279deb7beab7aec026c39a583767463cb95c403aebc10051a
20170119214911	main	db/migrate/20170119214911_create_preview_cards.rb	8ea5f209177953f188ebad45b2220246900cd74d52feb35afc7b47bb14c081b4
20170123162658	main	db/migrate/20170123162658_add_severity_to_domain_blocks.rb	3a56b3b89e4a6f69dadf883b82f8231104c7069dd6f6982c8cdfa369265c44c4
20170123203248	main	db/migrate/20170123203248_add_reject_media_to_domain_blocks.rb	487db4095ac3f275d21fbd19e9c75ac793f73cf8b5a111b221c765f6cd19c4dd
20170125145934	main	db/migrate/20170125145934_add_spoiler_text_to_statuses.rb	b83e180034b9bda457ed39c97a82c1941db2ed22463e4d6bea32c7b6230bff13
20170127165745	main	db/migrate/20170127165745_add_devise_two_factor_to_users.rb	d14e5858f13f477ac5354258599fa7e3057009c8ff3ed1ace12227032689098a
20170205175257	main	db/migrate/20170205175257_remove_devices.rb	b4155d31b5e7268ac871f0c78ac31b9112e5cf8e6a6b96c531a1673ba1acba63
